Country Name,Country Code,GNI,Percent_Of_Educate,CPIA,Percent_Energy,Female_Labor_Percent,Poor_Percent,Per_Water,Gini,Malnutrition,ISO3,CPI score 2021,port,country_x,Value,country_y
厄立特里亚,ERI,1610.0,,2.8,22.536109619858383,46.807442177584306,,,,,ERI,22.0,,,0.7326666666666667,ERI
西班牙,ESP,41790.0,10.6098098754883,,74.55708298634062,46.6579077693169,1.2,,36.2,2.5,ESP,61.0,16.0,ESP,1.0683333333333334,ESP
爱沙尼亚,EST,37520.0,13.6427898406982,,12.313255973487808,49.438152940591365,1.0,,35.1,2.5,EST,74.0,1.0,EST,1.1144444444444443,EST
埃塞俄比亚,ETH,2410.0,30.5395393371582,3.8,5.9263144174666005,46.725855847548225,35.6,,35.0,27.6,ETH,39.0,,,0.6790909090909091,ETH
欧洲联盟,EUU,46143.74221964183,12.025239944458,,54.703504516089424,46.08449254538394,,,,2.556014992188812,,,,,,
脆弱和受衝突影響的情況下,FCS,4480.333174346841,16.1652793884277,2.981481481481481,-83.52539599527644,42.26445938437012,39.6,,,22.404962384579555,,,,,,
芬兰,FIN,51400.0,12.893159866333,,52.23543393148936,48.25465122652536,0.1,,27.7,2.5,FIN,88.0,9.0,FIN,1.0822222222222222,FIN
斐济,FJI,13260.0,20.8386993408203,,,35.55951259408032,,,,6.4,FJI,55.0,,,1.025,FJI
法国,FRA,50130.0,,,48.16346592374847,48.44955010304962,0.1,,33.7,2.5,FRA,71.0,7.0,FRA,1.0633333333333337,FRA
密克罗尼西亚联邦,FSM,4020.0,,,,,,,,,,,,,0.9975,FSM
加蓬,GAB,14570.0,16.0584392547607,,-205.164809242153,40.27190694606829,,,,17.3,GAB,31.0,,,0.92,GAB
英国,GBR,48760.0,13.7612800598145,,42.32391728642839,47.561246574150765,0.4,,35.1,2.5,GBR,78.0,11.0,GBR,1.087058823529412,GBR
格鲁吉亚,GEO,14930.0,,4.2,70.3371527589433,46.382246040240005,12.0,,39.6,8.7,GEO,55.0,1.0,GEO,1.0595,GEO
加纳,GHA,5930.0,37.5209617614746,4.0,45.90799648005504,47.276767431645176,,,,7.7,GHA,43.0,2.0,GHA,0.8811764705882353,GHA
几内亚,GIN,2580.0,15.7688598632813,3.4,,53.709756517531574,,,,,GIN,25.0,1.0,GIN,0.5233333333333333,GIN
冈比亚,GMB,2390.0,17.6112308502197,3.5,,43.85385337308876,25.4,,43.6,13.6,GMB,37.0,,,0.9027272727272728,GMB
几内亚比绍共和国,GNB,2060.0,16.1913795471191,2.7,,47.51366040759877,68.4,,50.7,,GNB,21.0,,,0.75,GNB
赤道几内亚,GNQ,24910.0,,,,38.912055632891594,,,,,GNQ,17.0,,,0.9225,GNQ
希腊,GRC,30080.0,,,65.82322603507347,44.22622300252444,1.5,,36.3,2.5,GRC,49.0,3.0,GRC,0.9964705882352942,GRC
格林纳达,GRD,15880.0,,3.9,,,,,,,GRD,53.0,,,1.0257142857142856,GRD
危地马拉,GTM,8850.0,24.0855007171631,,32.84420957721554,34.49455153236387,,,,17.7,GTM,25.0,3.0,GTM,0.9635714285714286,GTM
圭亚那,GUY,16610.0,18.735689163208,3.4,,39.24795280760148,,,,7.3,GUY,39.0,,,1.125,GUY
高收入国家,HIC,52561.698944002244,13.0209846496582,,20.518379034740374,44.5017433559525,0.7,,,2.73298586234925,,,,,,
中国香港特别行政区,HKG,65500.0,20.6210594177246,,99.32034656680888,50.10746620288139,,,,2.5,HKG,76.0,,,1.03,HKG
洪都拉斯,HND,5520.0,,3.8,52.99643628878778,38.15508495765906,19.0,,53.4,15.9,HND,23.0,2.0,HND,1.1286666666666667,HND
重债穷国 (HIPC),HPC,2646.912171097738,17.548059463501,3.2368421052631575,-9.815368057877098,45.44709241477183,,,,25.289855503559803,,,,,,
克罗地亚,HRV,30120.0,9.46037006378174,,51.11390986537299,46.68283136712083,1.2,,32.5,2.5,HRV,47.0,1.0,HRV,1.0861111111111112,HRV
海地,HTI,3250.0,,2.7,22.015869961956504,48.668086253149156,,,,48.0,HTI,20.0,,,0.95,HTI
匈牙利,HUN,32630.0,10.0750398635864,,57.66670547678735,46.303622686036775,1.3,,31.5,2.5,HUN,43.0,,,1.07,HUN
只有IBRD,IBD,13707.526343433574,14.94863510131835,3.85,31.11905966016224,37.81265655924049,,,,8.429862910446236,,,,,,
IBRD与IDA,IBT,11154.846970552377,15.872620105743401,3.3324675324675326,31.119059660162232,38.37918288780863,,,,10.686986646573278,,,,,,
IDA總,IDA,3787.777332706262,16.5964698791504,3.2767123287671227,-19.046948392992622,40.61835382337861,35.8,,,18.83097258669104,,,,,,
IDA混合,IDB,5015.589308021133,16.4803204536438,3.473333333333333,-38.95621531184478,37.68734079166112,,,,14.113942033862333,,,,,,
印度尼西亚,IDN,11940.0,21.0787792205811,,-79.04613071006996,39.491376786334456,13.3,,40.0,13.0,IDN,38.0,2.0,IDN,0.98,IDN
只有IDA,IDX,3194.7792375554295,16.946784973144553,3.255769230769231,4.966232234198398,42.44771121213073,,,,22.106905795994034,,,,,,
印度,IND,6930.0,14.0501804351807,3.7,34.305523751201925,23.428891426513733,,,,16.0,IND,40.0,9.0,IND,0.9415789473684212,IND
爱尔兰,IRL,70910.0,13.5666399002075,,90.42999776114273,45.847997477136545,0.7,,33.5,2.5,IRL,74.0,2.0,IRL,1.0516666666666667,IRL
伊朗伊斯兰共和国,IRN,18010.0,21.6735000610352,,-33.39527219269894,19.69652921696396,,,,6.3,IRN,25.0,2.0,IRN,0.9592857142857144,IRN
伊拉克,IRQ,15470.0,,,-218.5695966739171,16.76757473359158,,,,38.4,IRQ,23.0,,,0.6,IRQ
冰岛,ISL,57770.0,17.2171592712402,,11.55755169241199,47.53329571982422,0.1,,27.8,2.5,ISL,74.0,1.0,ISL,1.1416666666666666,ISL
以色列,ISR,39880.0,15.7010803222656,,86.59501601677016,47.86878290092323,0.5,,42.5,2.5,ISR,59.0,3.0,ISR,1.096666666666667,ISR
意大利,ITA,44720.0,8.79574012756348,,81.00267181727541,42.8147709978699,1.9,,35.9,2.5,ITA,56.0,12.0,ITA,1.0750000000000002,ITA
牙买加,JAM,9910.0,21.7974891662598,,82.65261778479541,46.05823578444812,,,,10.1,JAM,44.0,1.0,JAM,1.1455555555555557,JAM
约旦,JOR,10500.0,12.1501598358154,,96.81229729348095,20.877831400858845,0.1,,33.7,9.5,JOR,49.0,1.0,JOR,1.0476470588235294,JOR
日本,JPN,44260.0,,,93.98125951657957,44.24421622139044,0.7,,32.9,2.7,JPN,73.0,8.0,JPN,,
哈萨克斯坦,KAZ,24410.0,,,-107.23476107278029,48.884846297309956,0.1,,28.2,3.5,KAZ,37.0,,,1.0777777777777775,KAZ
肯尼亚,KEN,4570.0,20.5559902191162,3.7,19.216395325050758,49.46480290823953,,,,24.9,KEN,30.0,1.0,KEN,0.8457142857142858,KEN
吉尔吉斯斯坦,KGZ,5100.0,18.1950092315674,3.8,57.69746594880806,41.770939157113844,2.8,,30.1,8.3,KGZ,27.0,,,1.073,KGZ
柬埔寨,KHM,4310.0,9.59706974029541,3.5,33.116297507867905,50.28065910963394,,,,13.3,KHM,23.0,1.0,KHM,0.8135714285714286,KHM
基里巴斯,KIR,4860.0,,3.3,,,,,,5.6,,,,,1.086666666666667,KIR
圣基茨和尼维斯,KNA,28600.0,,,,,,,,,,,,,1.0675,KNA
大韩民国,KOR,45620.0,,,83.4730685229819,42.37866668898068,0.5,,32.0,2.5,KOR,62.0,4.0,KOR,0.9066666666666668,KOR
科威特,KWT,87030.0,,,-319.47316868179,27.611600308169454,,,,2.5,KWT,43.0,2.0,KWT,1.189375,KWT
拉丁美洲与加勒比海地区（不包括高收入）,LAC,15550.095838896403,17.9047145843506,3.5555555555555554,-4.666485312736533,42.04406308115564,,,,7.546769272598682,,,,,,
老挝,LAO,7800.0,13.341010093689,3.5,,50.03252051882215,,,,16.0,LAO,30.0,,,0.8766666666666667,LAO
黎巴嫩,LBN,15980.0,9.89828968048096,,97.86553521755464,24.921713950567348,,,,14.9,LBN,24.0,1.0,LBN,,
利比里亚,LBR,1420.0,,3.1,,47.28054502274641,,,,38.9,LBR,29.0,1.0,LBR,0.7975,LBR
利比亚,LBY,29880.0,,,-102.96411204291927,35.76117313356072,,,,,LBY,17.0,,,1.09,LBY
圣卢西亚,LCA,14990.0,21.975700378418,3.9,,47.81294811706622,,,,,LCA,56.0,,,1.1952941176470588,LCA
拉丁美洲与加勒比海地区,LCN,16031.843642598962,17.577299118042,3.5555555555555554,6.611815932493566,41.85059622526006,6.0,,,7.722481003061713,,,,,,
最不发达国家：联合国分类,LDC,3099.152106258532,16.1728191375732,3.197674418604652,-33.48756623127319,43.03042246452962,,,,22.91561676621539,,,,,,
低收入国家,LIC,2014.4656224974908,16.33836460113525,3.169565217391304,-10.992737132779514,44.16890060510722,49.1,,,29.027281147577728,,,,,,
斯里兰卡,LKA,13230.0,17.728759765625,3.7,50.268492453942045,35.31929280837198,,,,11.3,LKA,37.0,1.0,LKA,1.1286666666666667,LKA
中低等收入国家,LMC,7325.587278285888,17.0810298919678,3.368292682926829,-12.019596219422327,31.899468801083245,23.6,,,14.051506877952827,,,,,,
中低收入国家,LMY,10883.97879666416,15.926830291748,3.332467532467532,28.00817540414526,38.38336720009709,19.2,,,10.941525106341047,,,,,,
莱索托,LSO,3440.0,,3.5,,46.35992783517001,,,,29.9,LSO,38.0,,,1.1942857142857142,LSO
